Country Name,Country Code,Time,Time Code,GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],GDP (constant 2015 US$) [NY.GDP.MKTP.KD],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Exports of goods and services (constant 2015 US$) [NE.EXP.GNFS.KD],Imports of goods and services (constant 2015 US$) [NE.IMP.GNFS.KD]
Afghanistan,AFG,2023,YR2023,..,..,..,..,..,..
Afghanistan,AFG,2022,YR2022,-6.240171992,372.6158948,15325233810,..,..,..
Afghanistan,AFG,2021,YR2021,-20.73883937,407.6165052,16345202563,..,..,..
Afghanistan,AFG,2020,YR2020,-2.351100672,529.1449097,20621957125,0.223478872,..,..
Afghanistan,AFG,2019,YR2019,3.911603416,559.140954,21118473702,0.297563651,..,..
Afghanistan,AFG,2018,YR2018,1.189228129,553.973306,20323499020,0.299082634,..,..
Afghanistan,AFG,2017,YR2017,2.647003203,563.4882365,20084646751,0.281195816,..,..
Afghanistan,AFG,2016,YR2016,2.260314203,564.9208406,19566715174,0.268358773,..,..
Afghanistan,AFG,2015,YR2015,1.451314661,566.8811297,19134221645,0.297971775,..,..
Afghanistan,AFG,2014,YR2014,2.724543362,576.4878173,18860496494,0.283692396,..,..
Afghanistan,AFG,2013,YR2013,5.600744659,582.1039759,18360263163,0.298087813,..,..
Afghanistan,AFG,2012,YR2012,12.75228709,570.6760614,17386490239,0.335061035,..,..
Afghanistan,AFG,2011,YR2011,0.426354777,527.1973365,15420077666,0.408965291,..,..
Afghanistan,AFG,2010,YR2010,14.36244147,544.6892941,15354612542,0.304230216,..,..
Afghanistan,AFG,2009,YR2009,21.39052839,490.272834,13426272073,0.239506901,..,..
Bangladesh,BGD,2023,YR2023,5.77511237,1869.163933,3.2328E+11,..,50538575408,71044199326
Bangladesh,BGD,2022,YR2022,7.099828776,1785.361317,3.0563E+11,..,46780850616,78739970649
Bangladesh,BGD,2021,YR2021,6.938679124,1685.020935,2.85369E+11,..,36154205766,60022959386
Bangladesh,BGD,2020,YR2020,3.448017551,1593.903088,2.66853E+11,0.510647559,33110837653,52073455943
Bangladesh,BGD,2019,YR2019,7.881915151,1558.507797,2.57958E+11,0.559733656,40135512497,58779996003
Bangladesh,BGD,2018,YR2018,7.31941263,1460.813516,2.39112E+11,0.586157625,36010032685,58484366240
Bangladesh,BGD,2017,YR2017,6.590249998,1377.083562,2.22804E+11,0.541787826,33937816839,47189556421
Bangladesh,BGD,2016,YR2016,7.113478213,1308.188406,2.09028E+11,0.507739271,34575133645,44872263009
Bangladesh,BGD,2015,YR2015,6.552639878,1236.435456,1.95147E+11,0.463517075,33831930824,48297463387
Bangladesh,BGD,2014,YR2014,6.061059359,1174.302401,1.83146E+11,0.425189457,34817255738,46798640891
Bangladesh,BGD,2013,YR2013,6.013605658,1121.076179,1.7268E+11,0.408788179,33737275199,46258195354
Bangladesh,BGD,2012,YR2012,6.521458779,1070.96854,1.62884E+11,0.387829235,32929872806,45701482044
Bangladesh,BGD,2011,YR2011,6.464379125,1017.982634,1.52912E+11,0.361557397,29262607176,41351861974
Bangladesh,BGD,2010,YR2010,5.571788185,967.8985228,1.43628E+11,0.340233253,22624714086,32017741188
Bangladesh,BGD,2009,YR2009,5.045124799,927.3413894,1.36047E+11,0.305030148,22413682057,31799452264
Bhutan,BTN,2023,YR2023,..,..,..,..,..,..
Bhutan,BTN,2022,YR2022,5.213867838,3336.376299,2610564317,..,656253587.9,1300466621
Bhutan,BTN,2021,YR2021,4.421367389,3191.308829,2481197936,..,714090894.2,1110152080
Bhutan,BTN,2020,YR2020,-10.21839742,3075.885565,2376140054,1.340054317,706755880.2,1018842443
Bhutan,BTN,2019,YR2019,5.755148512,3448.49419,2646577903,1.867200723,879867244.8,1120307784
Bhutan,BTN,2018,YR2018,3.501871857,3283.775667,2502552301,1.908289769,697528446.9,1159311716
Bhutan,BTN,2017,YR2017,3.507567403,3197.743747,2417881200,1.731865667,695694785.4,1141754444
Bhutan,BTN,2016,YR2016,8.400553755,3115.587912,2335946309,1.638388767,653535440.5,1152703143
Bhutan,BTN,2015,YR2015,6.568454317,2899.228294,2154921011,1.402040163,689955708.9,1271185173
Bhutan,BTN,2014,YR2014,5.717865612,2746.086854,2022100278,1.374876588,712591210.6,1084239510
Bhutan,BTN,2013,YR2013,1.658455578,2624.17568,1912732787,1.245731517,752399387.8,1084388861
Bhutan,BTN,2012,YR2012,5.095492644,2609.084821,1881528473,1.156355518,724354474.6,1104097701
Bhutan,BTN,2011,YR2011,8.307647832,2509.779725,1790303681,1.043274441,742170863,1188793646
Bhutan,BTN,2010,YR2010,11.9318739,2342.937552,1652979930,0.699034466,719137138.9,1121930947
Bhutan,BTN,2009,YR2009,7.667492403,2116.697405,1476773212,0.568786747,668832345.6,871496407.2
India,IND,2023,YR2023,7.583971124,2239.250363,3.19906E+12,..,6.86888E+11,8.04946E+11
India,IND,2022,YR2022,6.987039326,2098.220931,2.97354E+12,..,6.76583E+11,7.25741E+11
India,IND,2021,YR2021,9.689592492,1974.580602,2.77935E+12,..,5.96641E+11,6.56246E+11
India,IND,2020,YR2020,-5.777724707,1814.56157,2.53383E+12,1.576093232,4.60373E+11,5.3749E+11
India,IND,2019,YR2019,3.871436941,1944.314848,2.68921E+12,1.752534366,4.94792E+11,6.15137E+11
India,IND,2018,YR2018,6.453851345,1891.138435,2.58897E+12,1.795595299,5.12128E+11,6.20341E+11
India,IND,2017,YR2017,6.795383419,1795.91185,2.43202E+12,1.704926721,4.57535E+11,5.70048E+11
India,IND,2016,YR2016,8.256305502,1701.184238,2.27727E+12,1.639914019,4.37562E+11,4.85478E+11
India,IND,2015,YR2015,7.996253786,1590.174331,2.10359E+12,1.631323487,4.16788E+11,4.65098E+11
